PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
ATSc2,VC.3,HybRatio,ATSc2,LipinskiFailures,BCUTp.1l,C3SP3,C1SP2,nG,khs.sCl,C3SP2,MDEC.11,MolIP,MDEC.12,BCUTw.1l
MDEC.12,VC.5,MolIP,MLogP,MDEC.12,ALogP,RCOR,nG,MDEO.11,Cl,ATSc4,MDEC.14,FMF,MDEC.24,WTPT.2
khs.sCH3,SC.3,khs.ssCH2,RCOR,MDEC.24,MDEO.22,ATSc4,BCUTc.1l,khs.dssC,C3SP3,BCUTw.1l,LipinskiFailures,RCOOR,XLogP,BCUTp.1l
MolIP,SPC.4,C2SP3,XLogP,MLogP,khs.ssO,C3SP2,MDEO.11,khs.dO,nG,MolIP,khs.aaN,khs.aaCH,nAtomP,MLogP
MDEC.13,SC.5,bpol,ATSc5,khs.sCH3,O,topoShape,khs.aaN,khs.sCl,RCOR,C1SP1,khs.aaO,MDEC.24,HybRatio,SP.2
MDEC.11,VPC.4,nAtomLAC,C3SP2,C4SP3,ROR,PetitjeanNumber,khs.aaO,Cl,C1SP1,C2SP1,VP.7,C3SP2,khs.aaN,PetitjeanNumber
MDEC.14,MDEC.11,nAtomLC,MDEC.22,khs.ssssC,ATSc4,MDEO.22,C3SP3,C3SP3,C2SP1,khs.tCH,SC.4,BCUTp.1h,khs.aaO,BCUTc.1l
SC.4,VC.6,fragC,FMF,MDEC.34,ATSc1,C1SP3,MDEC.13,nAtomP,khs.tCH,khs.tsC,VC.4,C2SP2,SP.7,VABC
VC.4,SC.6,nAtom,C2SP3,XLogP,BCUTw.1h,ROR,BCUTp.1l,C2SP2,khs.tsC,RCCH,SC.6,ALogP,SPC.6,O
SC.6,VC.4,nRotB,BCUTc.1l,bpol,WTPT.4,SCH.5,khs.dssC,ATSc5,RCCH,MDEC.22,VC.6,VPC.6,RCOR,nAtomLAC
VC.6,SC.4,khs.sssCH,MDEC.23,VC.6,khs.sCl,nG,khs.dO,MDEC.13,BCUTw.1h,LipinskiFailures,VP.6,ATSc4,BCUTw.1l,HybRatio
C4SP3,MDEC.14,VP.7,BCUTp.1l,SC.6,Cl,nHBAcc,C1SP1,ATSc3,ATSc5,FMF,SCH.5,HybRatio,khs.ssCH2,RCOOR
khs.ssssC,C4SP3,VP.6,C,VC.4,C1SP1,VCH.5,C2SP1,BCUTw.1h,SC.3,khs.aaCH,SCH.7,VPC.5,ROR,BCUTp.1h
MDEC.34,khs.ssssC,VP.2,VCH.5,SC.4,C2SP1,khs.aaN,khs.tCH,nHBDon,MDEO.11,MDEC.11,SC.3,AMR,ATSm5,ATSm2
MDEC.24,MDEC.34,Kier3,ATSc3,MDEC.14,khs.tCH,khs.aaO,khs.tsC,khs.ssNH,ALogp2,C3SP3,VC.5,naAromAtom,SCH.5,WPATH
C1SP3,SPC.6,nHBDon,WTPT.2,fragC,khs.tsC,MDEC.23,RCCH,R2NH,MDEC.13,RCOR,WPATH,nAromBond,ATSp5,SP.1
C1SP1,BCUTp.1h,khs.ssNH,VP.3,nAtom,RCCH,MDEO.11,MDEN.23,khs.aaCH,ATSm1,MLogP,SP.7,MDEO.12,SPC.5,C1SP2
C2SP1,SPC.5,R2NH,SCH.5,BCUTp.1l,C3SP3,FMF,MDEC.12,BCUTw.1l,VC.3,VC.3,SCH.6,AROMATIC,bpol,apol
khs.tCH,MDEC.13,VP.4,VP.4,C1SP3,khs.dssC,MDEN.23,C3SP2,BCUTc.1h,ATSc2,Ncharges,khs.ssS,VPC.4,C2SP3,VP.0
khs.tsC,VPC.5,VCH.5,RINGS,C,khs.dO,khs.sCH3,ATSc3,BCUTc.1l,MDEN.23,khs.dsN,H,MDEC.22,MDEO.22,ALogp2
RCCH,VPC.6,VP.3,VP.5,SC.5,khs.sssCH,HybRatio,MLogP,RCOOR,Kier1,MDEN.12,S,khs.ssO,BCUTp.1h,SP.0
SC.5,MDEC.24,LipinskiFailures,VP.6,apol,MDEO.11,BCUTw.1l,khs.sCH3,XLogP,khs.dsN,MDEN.13,VCH.7,MLogP,BCUTp.1l,MDEC.13
ATSc5,khs.sCH3,MDEC.12,VP.7,VP.0,nHBDon,RINGS,MDEC.33,MolIP,MDEN.12,MDEO.22,VC.3,C,MDEC.33,ATSm1
BCUTw.1l,nHBDon,khs.ssS,khs.ssCH2,MDEC.11,khs.ssNH,ATSc1,nAtomLAC,Kier3,MDEN.13,nAtomP,C1SP2,BCUTc.1l,nAtomLC,MolIP
khs.dsN,khs.ssNH,H,VP.2,VABC,R2NH,WTPT.2,AROMATIC,khs.sCH3,Ncharges,MDEC.14,TopoPSA,MDEN.12,VPC.4,MDEO.12
Ncharges,R2NH,S,khs.aaCH,khs.ssO,MDEO.12,MDEC.13,C,SC.3,MDEC.11,C,C2SP3,MDEN.13,nAtom,khs.sCH3
MDEN.12,khs.sssCH,VP.5,ALogP,Kier1,nG,khs.sssCH,TopoPSA,ATSc2,SP.2,AMR,MDEC.22,Ncharges,VP.3,WTPT.3
MDEN.13,khs.ssS,topoShape,BCUTp.1h,nRotB,VCH.5,bpol,nHBDon,ATSm1,N,SC.4,nAtomLAC,khs.dsN,VPC.5,AMR
nAtomP,H,PetitjeanNumber,ATSp2,VC.3,C1SP3,VC.3,khs.ssNH,ALogp2,Kier3,VC.4,MDEN.22,MDEC.23,VPC.6,nRotB
ATSc4,S,VABC,ATSp1,ROR,VCH.7,ATSc2,R2NH,LipinskiFailures,khs.aasC,SC.6,VCH.6,nAtomLAC,khs.sCH3,ECCEN
HybRatio,ATSc3,khs.dssC,C2SP2,MDEO.12,VCH.6,MDEN.22,XLogP,MDEC.11,ALogP,VC.6,ECCEN,SP.5,VCH.5,khs.aaN
nAtomLC,VCH.7,khs.dO,fragC,SC.3,RCOR,WTPT.5,naAromAtom,MLogP,HybRatio,C2SP2,ATSc3,WPATH,ATSp4,khs.aaO
VC.3,khs.dssC,apol,ATSp3,MDEO.22,khs.ssS,N,nAromBond,MDEC.22,WTPT.5,SC.5,SP.6,ECCEN,C1SP3,FMF
C3SP3,khs.dO,VP.1,C3SP3,MDEC.13,H,MDEC.33,ATSp5,VABC,SP.0,C1SP3,VCH.5,ATSp4,nRotB,AROMATIC
BCUTc.1l,VCH.6,ATSc4,VPC.4,SPC.4,S,nAtom,ATSm5,Kier1,MW,SP.2,VP.2,SP.1,VP.1,TopoPSA
nG,ALogP,Kier2,VCH.6,AMR,MDEC.23,BCUTp.1l,nHBAcc,VP.2,MW1,nHBAcc,BCUTp.1l,WTPT.1,SPC.4,SC.3
RCOR,MDEC.33,VCH.7,SCH.6,Kier3,MDEC.33,SC.3,RCOOR,VP.0,MW2,VAdjMat,HybRatio,nRotB,nAtomLAC,VP.2
nAtomLAC,VCH.5,C1SP3,ATSp4,nAtomLAC,FMF,khs.ssCH2,SPC.5,fragC,WTPT.3,Kier3,RINGS,SP.4,VAdjMat,ATSc1
BCUTc.1h,SCH.7,VPC.5,VP.1,SP.0,MolIP,MDEC.11,SP.7,VC.3,MDEC.23,WPATH,Kier3,khs.ssS,VP.5,SC.4
RCOOR,ATSp3,VPC.6,ATSp5,ALogP,SCH.7,AMR,MDEC.11,khs.sssCH,nAtomLAC,ALogP,ALogp2,H,WPOL,ATSp3
khs.ssO,SCH.5,VCH.6,apol,topoShape,ALogp2,fragC,nAtom,C,VABC,C4SP3,SC.5,S,MDEN.22,MDEC.14
ALogP,MDEC.12,khs.sCH3,VPC.5,PetitjeanNumber,WTPT.2,khs.dssC,fragC,apol,khs.dssC,khs.ssssC,WTPT.3,ATSp1,apol,ATSc3
ALogp2,SCH.6,VP.0,nAtomLAC,Kier2,ATSm1,khs.dO,WTPT.5,SP.2,khs.dO,MDEC.34,khs.ssCH2,nB,ATSm4,SP.5
BCUTp.1l,BCUTc.1l,MDEO.11,nAromBond,VP.2,VPC.5,O,ATSc4,SP.0,VP.0,SC.3,ROR,SP.0,WTPT.2,SCH.7
MDEO.22,TopoPSA,BCUTp.1h,naAromAtom,VP.1,MLogP,AROMATIC,Kier1,FMF,ATSm3,VABC,RCOOR,ATSp2,VP.0,VC.4
XLogP,MDEO.11,C3SP3,AROMATIC,nAtomLC,VPC.6,WTPT.4,AMR,MW2,AMR,nG,MDEN.23,Kier1,VP.4,MDEC.11
Kier3,C1SP3,RCOR,VPC.6,WPATH,SCH.5,VPC.4,BCUTc.1h,nAtom,VP.2,WTPT.1,SP.2,WPOL,C3SP3,khs.sCl
SC.3,ALogp2,Kier1,ALogp2,WPOL,SCH.6,SP.4,SC.3,nRotB,MDEN.22,SP.0,khs.aasC,MDEC.12,C1SP2,Cl
khs.sCl,ATSp4,VPC.4,topoShape,VC.5,VP.4,VP.2,SP.2,MW1,khs.aaN,ECCEN,fragC,ATSp3,SP.3,fragC
Cl,BCUTw.1h,VC.5,PetitjeanNumber,RCOOR,VP.7,khs.aasC,SP.0,MW,khs.aaO,nB,BCUTc.1l,C4SP3,WTPT.4,ATSm4
LipinskiFailures,BCUTp.1l,MDEC.13,SP.3,MDEC.22,RINGS,nAromBond,SPC.6,MDEC.23,ROR,Kier1,bpol,khs.ssssC,VABC,nAromBond
VC.5,VP.2,nHBAcc,nAtom,WTPT.4,VP.6,naAromAtom,apol,ATSp1,ATSm5,SP.1,WTPT.5,MDEC.34,ATSp3,khs.ssO
MDEO.12,ATSm4,SCH.5,SP.4,ALogp2,nAtomP,SP.2,Kier3,Kier2,SCH.5,VC.5,WTPT.4,apol,C4SP3,khs.ssS
ROR,ATSm3,MDEC.22,VCH.7,ECCEN,C2SP2,SPC.5,SP.4,VP.1,C1SP2,WTPT.2,O,O,khs.ssssC,H
khs.ssCH2,VP.5,nG,C1SP1,SP.2,TopoPSA,Zagreb,khs.aasC,ALogP,VAdjMat,Zagreb,khs.sssCH,VABC,MDEC.34,S
MDEO.11,ATSp2,MDEC.24,C2SP1,MW2,AMR,C1SP2,ALogP,AMR,ATSm2,khs.ssO,nHBAcc,Zagreb,ATSc4,nHBDon
C3SP2,RINGS,BCUTc.1l,khs.tCH,BCUTc.1h,VP.5,VAdjMat,WPATH,ATSm4,VPC.4,Kier2,ATSm3,nHBDon,khs.sCl,khs.ssNH
MLogP,MDEN.23,khs.dsN,khs.tsC,O,ATSm3,SP.3,N,WPATH,Zagreb,VP.2,MDEO.12,khs.ssNH,Cl,R2NH
nRotB,ATSp5,MDEN.12,RCCH,SP.1,topoShape,SPC.4,bpol,nAromBond,SPC.4,MDEO.11,FMF,R2NH,SP.5,SC.6
ATSc3,VP.6,MDEN.13,SP.5,WTPT.1,PetitjeanNumber,khs.dsN,WPOL,naAromAtom,WTPT.1,apol,ATSc1,SP.2,Kier2,VC.6
SPC.4,VP.7,Ncharges,khs.aasC,HybRatio,VP.3,MDEN.12,Zagreb,nAtomLC,SP.1,SP.3,N,C1SP3,khs.aasC,VCH.7
C1SP2,nG,MLogP,SP.6,ATSm4,MDEC.12,MDEN.13,WTPT.1,VAdjMat,nB,MDEC.13,ATSm2,SCH.6,fragC,C4SP3
MDEC.22,nHBAcc,XLogP,SCH.7,khs.aasC,SP.4,Ncharges,SP.1,ATSm3,C4SP3,fragC,VP.1,BCUTc.1h,SP.4,khs.ssssC
C2SP3,VP.4,VC.3,AMR,khs.ssCH2,bpol,ATSp5,SCH.5,ATSp2,khs.ssssC,ALogp2,MDEO.22,WTPT.4,ATSc1,MDEC.34
C2SP2,WTPT.5,ATSp1,MDEC.24,C2SP2,VPC.4,TopoPSA,nB,WPOL,MDEC.34,ATSp1,MDEC.33,RINGS,ATSp2,khs.ssCH2
khs.aaCH,WTPT.3,SP.0,SPC.4,MW,ATSm4,apol,VABC,WTPT.1,VC.6,ATSp2,nHBDon,nAtom,Kier1,khs.dssC
WTPT.4,VP.3,TopoPSA,SC.5,MW1,ATSp3,WTPT.3,ATSc2,ECCEN,SC.6,VPC.4,khs.ssNH,VP.5,O,khs.dO
Kier2,ATSp1,MW2,C4SP3,VAdjMat,SP.7,VP.4,nAtomLC,ATSm5,VC.4,VCH.5,R2NH,SP.3,ATSp1,C2SP3
khs.aaN,WPOL,C4SP3,khs.ssssC,naAromAtom,BCUTp.1h,nB,MDEN.22,MDEC.33,SC.4,khs.sssCH,BCUTw.1h,MDEC.13,MLogP,MW2
khs.aaO,N,khs.ssssC,MDEC.34,nAromBond,ATSm2,SCH.6,LipinskiFailures,nAtomLAC,MDEC.14,RINGS,VP.4,ATSm2,MW2,ATSc5
O,C3SP3,MDEC.34,Zagreb,nB,MDEC.13,VP.3,C2SP3,SP.1,MDEC.24,VP.7,AROMATIC,VCH.7,SC.5,MDEN.23
nAromBond,nAtomP,C,khs.sssCH,AROMATIC,khs.aaCH,VPC.5,Kier2,ATSp4,Kier2,WPOL,ALogP,MW1,MDEN.23,WTPT.5
naAromAtom,MolIP,ECCEN,VC.6,Zagreb,BCUTc.1h,ATSm5,VAdjMat,nB,apol,nAtom,ATSm1,MW,MDEC.23,VC.3
AROMATIC,BCUTc.1h,ATSc2,SC.6,khs.sCl,ATSp2,SP.7,nAtomP,ATSm2,ECCEN,ATSc1,Zagreb,nHBAcc,khs.ssO,C1SP3
khs.aasC,SP.2,WPATH,VC.4,Cl,SPC.5,ATSp3,VP.0,bpol,WPATH,ROR,nB,MW2,SP.1,khs.aasC
topoShape,FMF,MDEC.11,SC.4,khs.aaCH,SP.6,VP.1,nRotB,Zagreb,ATSm4,SPC.4,naAromAtom,SPC.5,C,VP.4
PetitjeanNumber,SP.3,C1SP1,SPC.5,SP.3,ATSm5,VCH.6,khs.aaCH,khs.dsN,khs.ssCH2,BCUTp.1h,nAromBond,khs.dssC,ATSc2,VPC.6
MDEN.22,RCOOR,C2SP1,MDEC.14,ATSc4,C,WTPT.1,ECCEN,MDEN.12,VCH.5,khs.dssC,Kier2,khs.dO,WTPT.3,VPC.4
khs.dssC,C1SP2,khs.tCH,SP.7,ATSp5,SP.5,VP.0,khs.sssCH,MDEN.13,khs.sCH3,khs.dO,nAtom,VP.0,VP.2,nAtomLC
khs.dO,SP.5,khs.tsC,MolIP,ATSp1,ATSc5,SPC.6,SP.5,Ncharges,nAtom,ATSp3,MW1,ATSp5,TopoPSA,Kier3
N,Zagreb,RCCH,VC.3,C1SP2,VP.1,MLogP,ATSp4,AROMATIC,nRotB,MDEC.23,MW,SCH.7,nHBAcc,C1SP1
VPC.4,ATSc5,ATSp2,HybRatio,ATSp4,ATSp1,ATSp2,SP.3,VP.7,ATSp1,naAromAtom,WTPT.1,VAdjMat,SP.0,C2SP1
bpol,MDEN.22,VC.6,VABC,khs.aaN,LipinskiFailures,SP.1,topoShape,VP.5,khs.sssCH,nAromBond,VP.0,ATSc1,WTPT.1,khs.tCH
ATSc1,SP.6,SC.6,SPC.6,khs.aaO,MW,MDEC.14,PetitjeanNumber,VP.6,ATSc1,MW2,MW2,VP.3,MW1,khs.tsC
WTPT.5,ATSc1,VC.4,LipinskiFailures,VPC.4,MW1,SC.4,SPC.4,ATSp3,nHBAcc,MW1,VP.5,VP.4,MW,RCCH
MDEN.23,RCOR,SC.4,nB,SPC.6,VP.2,VC.4,VC.3,BCUTp.1l,ATSp5,MW,nRotB,VP.1,SCH.7,VCH.6
fragC,HybRatio,MDEC.14,VAdjMat,ATSc1,MW2,SC.6,VP.1,VP.4,C,SP.4,MDEC.13,bpol,nB,MDEC.22
BCUTw.1h,O,N,VP.0,ATSm5,SPC.6,VC.6,SCH.6,ATSp5,SP.3,ATSm2,WTPT.2,VCH.6,ATSm1,VPC.5
FMF,SP.7,WTPT.5,VC.5,ATSm1,HybRatio,C,ATSp1,khs.aasC,VP.1,VCH.6,apol,ATSc2,ATSm2,MDEN.22
nHBAcc,khs.aaN,ATSp5,khs.sCl,ATSm2,C3SP2,C4SP3,MDEC.23,SP.4,MDEC.12,ATSp4,khs.ssO,ATSm3,WTPT.5,nG
VCH.5,khs.aaO,ATSp3,Cl,ATSp2,ATSp4,khs.ssssC,RINGS,VP.3,ATSp2,VP.0,SP.1,MDEO.11,Zagreb,SP.3
nAtom,SP.4,SP.1,WTPT.1,ATSm3,VP.0,MDEC.34,HybRatio,C1SP2,nAtomLC,VP.6,khs.sCH3,N,AMR,ATSp1
nHBDon,ATSm5,SCH.7,SP.2,SPC.5,khs.ssCH2,SP.5,VP.2,SP.5,C1SP3,SP.5,SP.4,khs.sCH3,BCUTw.1h,ROR
khs.ssNH,ATSm1,MW,WPOL,C2SP3,khs.aasC,SP.6,ATSp2,SPC.5,WPOL,VP.5,ATSc4,MDEO.22,ATSm3,MDEC.12
R2NH,khs.sCl,MW1,khs.aaN,SP.5,Zagreb,MDEC.24,MDEC.22,SPC.4,SPC.5,VP.4,XLogP,TopoPSA,VCH.6,bpol
BCUTp.1h,Cl,SC.5,khs.aaO,ATSp3,VAdjMat,ATSp1,ATSp3,C1SP3,O,AROMATIC,MolIP,WTPT.5,SCH.6,WTPT.1
khs.sssCH,MDEC.23,WTPT.1,SP.1,VP.3,khs.sCH3,khs.aaCH,SP.6,C3SP2,ATSp3,VPC.5,SP.0,C1SP2,N,SCH.6
VPC.5,WTPT.4,ATSp4,khs.ssS,SP.6,SP.3,SP.0,MDEC.24,MDEO.12,TopoPSA,VP.3,VP.3,SP.6,RINGS,khs.aaCH
WTPT.3,ATSm2,BCUTp.1l,H,BCUTp.1h,apol,SC.5,O,khs.ssS,WTPT.4,nHBDon,SP.5,nG,MDEO.12,BCUTw.1h
SPC.6,ATSc2,ATSc5,S,ATSc5,VABC,khs.ssO,MW2,H,C2SP3,khs.ssNH,VABC,WTPT.3,khs.sssCH,SPC.5
VPC.6,C1SP1,ATSc1,BCUTw.1h,ATSc2,fragC,ATSm2,SC.5,S,SP.4,R2NH,ATSp1,ATSm4,VCH.7,VP.5
khs.ssS,C2SP1,ATSm1,WPATH,VP.5,nB,MW2,C4SP3,SP.3,VPC.5,nAtomLC,MDEC.23,khs.aasC,VP.7,nB
H,khs.tCH,ATSm2,ECCEN,SP.4,SC.3,ATSm3,khs.ssssC,MDEN.23,SP.6,ATSp5,ATSp2,ATSc3,ATSc5,khs.sssCH
S,khs.tsC,VAdjMat,MDEC.33,C3SP2,SP.2,ALogP,MDEC.34,VPC.4,MDEO.22,VP.1,C,SC.3,Kier3,VC.5
SPC.5,RCCH,BCUTw.1h,bpol,MolIP,naAromAtom,LipinskiFailures,MW,C2SP3,ATSp4,SP.7,RCOR,MDEN.22,VC.5,VP.6
SCH.5,AMR,MDEN.23,SC.3,BCUTw.1h,nAromBond,ATSp4,MW1,SPC.6,nHBDon,nRotB,khs.dssC,ATSm1,SP.6,SP.7
C,BCUTw.1l,SC.3,ATSm3,SP.7,WTPT.1,VABC,ATSm3,VPC.5,khs.ssNH,SCH.6,khs.dO,khs.sssCH,khs.ssS,ALogP
Kier1,topoShape,nB,MDEC.11,VPC.6,VC.3,MDEC.22,khs.ssCH2,VCH.7,R2NH,O,ATSp3,ATSm5,H,MDEC.23
VCH.7,khs.aasC,WTPT.3,ATSm2,VPC.5,nAtom,nHBDon,VC.6,TopoPSA,SP.7,N,SP.3,SP.7,S,Zagreb
apol,MDEO.12,SCH.6,MW2,FMF,MDEC.22,khs.ssNH,SC.6,O,bpol,ATSm4,ATSc2,Kier2,AROMATIC,MDEO.22
VCH.6,PetitjeanNumber,SP.2,MW1,VP.6,SP.1,R2NH,VC.4,WTPT.2,VP.3,ATSc2,C1SP3,MDEN.23,SP.2,ATSm3
VABC,AROMATIC,ATSc3,MW,VP.4,AROMATIC,nRotB,SC.4,MDEC.14,FMF,ATSm3,Kier1,SPC.6,ATSc3,WTPT.4
MDEC.23,C3SP2,ATSm5,nAtomP,nAtomP,ATSp5,WPOL,WTPT.4,VPC.6,SPC.6,VPC.6,MLogP,VP.2,C1SP1,VP.7
TopoPSA,naAromAtom,MDEO.22,SP.0,VP.7,ECCEN,BCUTp.1h,ATSm2,SC.4,MDEC.33,VCH.7,nAtomLC,VC.3,C2SP1,WPOL
WTPT.2,nAromBond,khs.ssO,ATSm4,nG,nRotB,WPATH,MDEC.14,VC.4,SP.5,WTPT.4,VAdjMat,SPC.4,khs.tCH,C2SP2
VP.2,MW1,Zagreb,MDEC.12,RINGS,WPOL,VPC.6,WTPT.2,SC.6,AROMATIC,bpol,khs.sCl,VC.6,khs.tsC,MDEC.24
MDEC.33,MW,SPC.5,ATSm1,ATSc3,nHBAcc,MW,MDEO.12,VC.6,fragC,khs.ssCH2,Cl,SC.6,RCCH,SCH.5
VP.7,WTPT.2,ATSm3,ATSm5,WTPT.2,WPATH,MW1,VP.7,WTPT.3,XLogP,MDEC.24,BCUTc.1h,VC.4,naAromAtom,MW1
RINGS,nB,O,nHBDon,SCH.7,SPC.4,VP.6,VP.4,N,C2SP2,WTPT.5,ATSc5,SC.4,nAromBond,C
VP.6,khs.dsN,SP.7,khs.ssNH,RCOR,VC.5,VP.7,RCOR,VCH.6,VP.4,BCUTc.1h,C3SP2,WTPT.2,BCUTc.1h,SP.4
VP.4,MDEN.12,ATSm4,R2NH,TopoPSA,SP.0,C2SP2,SCH.7,RINGS,VPC.6,khs.ssS,C4SP3,nAtomLC,VP.6,nHBAcc
VP.0,MDEN.13,MDEC.33,Kier2,SCH.6,C2SP3,ECCEN,ATSc1,C4SP3,PetitjeanNumber,H,khs.ssssC,VP.6,MDEN.12,VP.1
VP.3,Ncharges,SP.4,khs.sCH3,MDEC.23,RCOOR,VP.5,WTPT.3,khs.ssssC,nAromBond,S,MDEC.34,khs.ssCH2,MDEN.13,Kier1
VP.5,C2SP2,SPC.4,MDEN.22,WTPT.3,Kier3,MolIP,VP.3,MDEC.34,naAromAtom,SPC.5,khs.aaCH,C2SP3,Ncharges,nAtom
VP.1,khs.aaCH,RCOOR,Kier1,C1SP1,WTPT.3,SCH.7,VPC.5,SP.7,topoShape,MDEO.12,AMR,VP.7,khs.dsN,RINGS
ECCEN,VP.0,AMR,nRotB,C2SP1,Kier2,Kier1,ATSm4,WTPT.5,MLogP,SCH.5,C2SP2,ROR,BCUTc.1l,N
SCH.6,MW2,MDEN.22,MDEN.12,khs.tCH,nAtomLC,Kier3,C2SP2,WTPT.4,SCH.7,SP.6,ATSm4,C1SP1,nHBDon,VCH.5
SCH.7,ATSc4,SP.6,MDEN.13,khs.tsC,MDEC.11,VCH.7,BCUTp.1h,SC.5,RINGS,ATSm1,MDEN.12,C2SP1,khs.ssNH,SP.6
SP.0,VP.1,SPC.6,khs.dsN,RCCH,Kier1,XLogP,VPC.4,SP.6,khs.ssO,ATSm5,MDEN.13,khs.tCH,R2NH,ATSm5
WPATH,VAdjMat,WTPT.4,Ncharges,MDEO.11,C1SP2,C2SP3,VP.5,SCH.7,VP.5,SPC.6,Ncharges,khs.tsC,C3SP2,C3SP3
ATSm1,SP.0,SP.3,MDEC.13,BCUTc.1l,XLogP,Kier2,FMF,ATSc1,SC.5,MDEN.23,khs.dsN,RCCH,VC.6,VP.3
AMR,khs.ssO,WPOL,BCUTw.1l,C3SP3,ATSc2,ALogp2,VC.5,MDEC.12,VP.6,WTPT.3,C1SP1,ATSc5,SC.6,ATSc2
SP.1,bpol,BCUTw.1l,khs.dssC,khs.ssS,MDEC.14,ATSm4,VP.6,khs.ssCH2,MDEO.12,TopoPSA,C2SP1,MDEC.14,VC.4,Kier2
ATSm4,WTPT.1,BCUTc.1h,khs.dO,H,SC.5,ATSm1,C1SP3,VC.5,ATSc3,MDEN.22,khs.tCH,VC.5,SC.4,naAromAtom
WPOL,ROR,MDEO.12,Kier3,S,SC.4,VC.5,VPC.6,MDEC.24,MolIP,SCH.7,khs.tsC,BCUTp.1l,ECCEN,SC.5
ATSp3,fragC,SP.5,WTPT.5,MDEC.33,VC.4,MDEC.12,VCH.5,BCUTp.1h,VP.7,MDEC.33,RCCH,VCH.5,nG,ATSp2
MW2,MDEO.22,ROR,N,VCH.7,SC.6,MDEO.12,VCH.6,khs.ssO,BCUTp.1l,HybRatio,SPC.4,Kier3,khs.dssC,XLogP
WTPT.1,WPATH,MDEC.23,nAtomLC,SCH.5,VC.6,khs.sCl,khs.ssS,SCH.6,MDEC.22,khs.sCH3,MDEO.11,BCUTw.1h,khs.dO,ATSp4
ATSp4,apol,WTPT.2,MDEN.23,nHBAcc,nAtomLAC,Cl,H,nHBAcc,VCH.7,BCUTp.1l,WPOL,PetitjeanNumber,VC.3,topoShape
ATSm5,SP.1,RINGS,nG,VCH.6,C4SP3,nAtomLC,S,HybRatio,VCH.6,khs.aasC,ATSp4,MDEC.11,MDEC.13,Ncharges
VAdjMat,nAtom,khs.sCl,MDEO.11,khs.dssC,khs.ssssC,khs.ssS,MolIP,RCOR,VC.5,C2SP3,C3SP3,khs.aaN,MDEO.11,SPC.4
MW1,VABC,Cl,C1SP2,khs.dO,MDEC.34,H,ALogp2,VCH.5,WTPT.2,ATSc5,nG,khs.aaO,ALogp2,ATSp5
MW,C2SP3,nAtomP,TopoPSA,nHBDon,MDEC.24,S,VCH.7,MDEN.22,SCH.6,BCUTc.1l,VPC.6,fragC,MDEC.14,khs.dsN
SP.2,ECCEN,C1SP2,ROR,khs.ssNH,khs.aaN,nAtomP,BCUTw.1l,ATSc4,BCUTp.1h,RCOOR,ATSp5,topoShape,SC.3,MDEN.12
SP.5,C,C3SP2,MDEO.22,R2NH,khs.aaO,BCUTw.1h,ATSm1,SCH.5,khs.aaCH,XLogP,VPC.5,SCH.5,ALogP,MDEN.13
ATSp5,MLogP,FMF,ATSc4,MDEN.22,BCUTw.1l,BCUTc.1l,ROR,ROR,khs.ssS,BCUTw.1h,ATSm5,khs.sCl,MDEC.22,MDEO.11
ATSm3,Kier1,khs.aaN,RCOOR,VCH.5,ATSc3,ATSc5,MDEO.22,MDEO.22,H,C1SP2,VPC.4,Cl,RCOOR,ATSc4
SP.3,nAtomLAC,khs.aaO,WTPT.3,khs.sssCH,MDEN.23,nAtomLAC,MDEN.12,khs.aaN,S,nAtomLAC,SPC.6,SC.5,C2SP2,C3SP2
nB,XLogP,ALogP,nHBAcc,MDEN.23,BCUTc.1l,BCUTc.1h,MDEN.13,khs.aaO,BCUTc.1l,khs.sCl,SPC.5,C3SP3,WPATH,SPC.6
SP.6,LipinskiFailures,khs.aaCH,BCUTc.1h,khs.dsN,WTPT.5,ATSc3,khs.dsN,C1SP1,LipinskiFailures,Cl,BCUTp.1h,RCOR,khs.aaCH,RCOR
SP.7,nAtomLC,C2SP2,C1SP3,MDEN.12,N,RCOOR,Ncharges,C2SP1,C3SP2,khs.aaN,nAtomP,XLogP,FMF,VAdjMat
ATSp2,khs.ssCH2,khs.aasC,khs.ssO,MDEN.13,MDEN.22,C1SP1,khs.ssO,khs.tCH,ATSc4,khs.aaO,BCUTw.1l,ALogp2,MDEC.11,MDEC.33
ATSp1,nRotB,AROMATIC,ATSc1,Ncharges,Ncharges,C2SP1,BCUTw.1h,khs.tsC,RCOOR,MDEC.12,topoShape,MDEC.33,MolIP,LipinskiFailures
Zagreb,MDEC.22,naAromAtom,WTPT.4,WTPT.5,MDEN.12,khs.tCH,khs.sCl,RCCH,BCUTw.1l,ATSc3,MDEC.12,BCUTw.1l,LipinskiFailures,BCUTc.1h
SP.4,Kier3,nAromBond,O,N,MDEN.13,khs.tsC,Cl,PetitjeanNumber,BCUTc.1h,topoShape,PetitjeanNumber,LipinskiFailures,PetitjeanNumber,MW
ATSm2,Kier2,ALogp2,MDEO.12,BCUTw.1l,khs.dsN,RCCH,ATSc5,topoShape,nAtomP,PetitjeanNumber,MDEC.24,nAtomP,topoShape,nAtomP